"RegNo","Category1","Category2","Genre1","Genre2","Genre3","Latitude","Longitude","Name","ZipCode","Adress1","Adress2","Adress3","Adress4","BusinessTime","RegularHoliday","Tel","Email","BarrierFree","BarrierFreeOther","OfficialSite","URL","URL2","Remarks","WiFiAvailability","SSID","WiFiUseLocation","EncryptionFlag","AuthenticationFlag","FilteringFlag","ChargingOutletFlag","CarrierWiFi","PR","Access","ParkingFlag","ParkingInformation","Credit","CreditList","Photo1","Photo2","Photo3","ForeignLanguages","ForeignLanguagesOther","Gourmet","TotalSseats","PrivateRoom","Budget","Cigarette","ChildSupport","ChildSupportOther","TatamiRoom","ForeignLanguageMenu","Vegetarian","KindHotSpring","Facilities","FacilitiesOther","BathingFee","TimeToEnjoy","ExperienceFee","AccommodationFee","TypeRoom","HotSpringsFlag","HotSpringsUtilizationTime","PickUp","TVViewing","CurrencyExchange","OverseasATM","DutyFree","Delivery","Pictogram1","Pictogram2","Pictogram3","Pictogram4","Pictogram5","Pictogram6","Pictogram7","Pictogram8","Pictogram9","Pictogram10","Coupon","CouponDescription","IntroductionVideo","ElectronicData1","ElectronicData2","ElectronicData1Description","ElectronicData2Description","Notice","Halal","SearchTag","Remarks1","Remarks2","Remarks3","DispFlg","TimeStamp"
"100001","くらし","","","","","33.241461","130.268717","佐賀県医療センター好生館","840-0861","佐賀県","佐賀市","嘉瀬町中原大字","400","8:30～11:00（受付時間）","土・日・祝日、年末年始（12/29～1/3）","0952-24-2171","info@koseikan.jp","段差なし／スロープあり／身障者等用駐車場／身障者用トイレ／身障者オストメイト／その他（自由記述）","","https://www.koseikan.jp/","","","","1","KOSEIKAN_FREE_WIFI","1","1","1","1","2","","佐賀県医療センター好生館は、平成26年に創設180周年を迎えました。<br />これからも、県民とともに、県民医療・福祉の向上に邁進してまいります。","ＪＲ長崎本線佐賀駅からバス約20分（佐賀市営バス、祐徳バス、昭和バス）","1","有料（551台）","1","VISA／Master／AMEX／JCB／Diners","100001_1.jpg","","","","","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","","question_and_answer.png","information.png","hospital.png","toilets.png","accessible_facility.png","accessible_slope.png","nursery.png","bus_busstop.png","parking.png","","","","","","","","","","","","","","","1","2017/03/31 10:51:17"
"100002","宿泊","温泉","","","","32.964600","130.224186","海上館","849-1613","佐賀県","藤津郡","太良町大字大浦丙","976-12","11:00～20:00（チェックイン16:00、チェックアウト10:00）","不定休","0954-68-3506","front@kaijyoukan.com","スロープあり／身障者用トイレ","","http://kaijyoukan.com","","","","1","kaijyoukan","1","1","1","2","1","docomo／softbank／au","見渡す限り海！有明海を望む絶景の露天風呂と、ご当地グルメの”竹崎カニ”を中心に有明海の海の幸などの地場料理を堪能できる宿。<br />趣の違う個性ある客室も必見！","ＪＲ長崎本線肥前大浦駅より車で５分","1","無料","2","","100002_1.jpg","100002_2.jpg","100002_3.jpg","外国語メニュー","","竹崎カニ","","","","","お子様メニュー／オムツ交換スペース／その他（自由記述）","離乳食の持ち込みも可能","1","英語／中国語／韓国語","2","大浴場／露天風呂","","","大人500円、子供300円","約２時間","","16,200円から（税込）","和室／和洋室","あり／立ち寄り湯あり","平日12:00～17:00","1","2","2","2","2","国内配送可","information.png","toilets.png","accessible_slope.png","nursery.png","parking.png","baggage_delivery_service.png","hotspring.png","no_uncaged_animals.png","consent.png","tatami.png","","","","","","","","","","","","","","1","2017/03/31 10:49:46"
"100003","観光","","","","","33.353638","130.147268","天山リゾート","840-0503","佐賀県","佐賀市","富士町大字市川","2338-6","冬季（11月～３月）10:00～18:30（土曜日26:00まで）、夏季10:00～17:00","冬季休み無し、夏季不定休。","0952-58-2336","jinnouchi@tenzan-resort.co.jp","","","http://www.tenzan-resort.co.jp","","","","1","tenzan-resort","2","2","2","2","2","","天山スキー場は、冬季期間はスキー場として、11月から３月まで営業をしています。人工降雪を使用したスキー場なので雪不足は心配ありません。レンタルを完備しているので、用具が無くても楽しめます。スクールを常時開校しているので、初心者の人には心強い味方です。<br />夏季はドッグラン、サーキット場などを運営しています。英語、中国語対応のスタッフも常駐しており外国の方も心配いりません。","長崎自動車道佐賀大和インターチェンジから古湯温泉方面へ30分","1","有料（1,000台収容、冬季400円、夏季無料）","1","VISA／Master／JCB","100003_1.jpg","100003_2.jpg","100003_3.jpg","外国語メニュー／看板の外国語表記／その他（自由記述）","外国語対応スタッフ","","1,000席","なし","昼800円から","全禁煙","","","2","英語／中国語","2","","","","","冬季４時間、夏季１時間","冬季入場料3,000円、夏季無料","","","","","2","2","2","2","2","","information.png","toilets.png","parking.png","park.png","sporting_activities.png","no_smoking.png","","","","","","","","","","","","","","","","","","1","2017/03/31 10:48:35"
"100004","くらし","","","生活一般","","33.287414","130.101766","多久市商工会","846-0002","佐賀県","多久市","北多久町大字小侍","687-19","8:30～17:15","土曜日、日曜日、祭日","0952-74-2144","taku@sashoren.or.jp","","","http://www.sashoren.ne.jp/taku/","https://www.facebook.com/takushishoukoukai","https://twitter.com/takushishoukou","","1","Taku Free Spot","1","2","2","2","2","","多久市商工会では、多久市行政と連携を密にして地域商工業の振興を図るとともに、小規模事業者の持続化のための事業支援に取組むと共に、街づくりに協力しております。","ＪＲ唐津線多久駅から徒歩７分","1","無料（20台）","2","","","","","","","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","","parking.png","","","","","","","","","","","","","","","","","","","","","","","1","2017/03/31 10:47:07"
"100005","宿泊","グルメ","","","","33.091813","129.982404","ハミルトン宇礼志野","843-0304","佐賀県","嬉野市","嬉野町大字岩屋川内","288-1","チェックイン15:00、チェックアウト11:00","不定休","0954-43-0333","info@hamilton-ureshino.jp","スロープあり／その他（自由記述）","","http://www.hamilton-ureshino.jp","","","","1","hamilton0333","1","2","2","2","1","docomo／softbank／au","小高い丘に上に立つ瀟洒な洋館、ハミルトン宇礼志野は日常から離れてゆっくりと癒しのひとときを過ごす隠れ家的な雰囲気で多くのお客様に愛されています。<br />まるで往年の名画のワンシーンのような大正浪漫を感じさせるロビー、天井が高く解放感溢れるリストランテ「トレ・コローネ」、そこで味わう地元の旬の食材を本格イタリアンに仕上げた青木シェフ自慢のコースメニュー、日常の疲れを癒し心身ともにリラックスへと導くリラクゼーションエステサロン「QUEEN&#39;S SPA」など、非日常的な空間でのんびりとお過ごし頂けます。","ＪＲ佐世保線武雄温泉駅から車で30分<br />嬉野温泉バスセンターから徒歩10分<br />長崎自動車道嬉野インターチェンジから車で10分","1","無料（30台）、近隣の姉妹ホテル華翠苑の駐車場利用可能","1","VISA／Master／AMEX","100005_1.jpg","100005_2.jpg","100005_3.jpg","","","最上級イタリアン「Ａ５等級佐賀牛・ロブスター」コース","60席","あり（団体用２室）","昼　2,000円（税サ別）から<br />夜　6,800円（税サ別）から","全禁煙","お子様メニュー","","1","","1","","エステサロン／その他（自由記述）","バーラウンジ","大人1,350円　子ども675円","","","15,000円（税別）から","ツイン／ダブル／和室","あり／立ち寄り湯あり","6:00～12:30　14:00～22:00","1","2","2","2","2","国内配送可","information.png","toilets.png","accessible_facility.png","accessible_slope.png","hotel.png","restaurant.png","baggage_delivery_service.png","hotspring.png","tatami.png","","","","","","","","","","","","","","","1","2017/03/31 10:46:28"
"100006","観光","","","","","33.310276","130.284393","観光酒蔵 酒ギャラリー大和","840-0201","佐賀県","佐賀市","大和町大字尼寺","2620","8:30～17:30","土日、祝日","0952-62-3535","info@sake-yamato.co.jp","","","http://www.sake-yamato.co.jp","https://www.facebook.com/yamato.sake","","","1","yamato-S","2","2","2","2","2","","酒蔵スポットの新名所誕生しました。大和酒造敷地内に観光酒蔵がオープン。<br />醸造設備を間近で見学できるほか、手軽に日本酒・焼酎・リキュール等、利き酒コーナーあります。<br />施設内では、ここだけで購入できる限定商品など販売しております。","長崎自動車道佐賀大和インターチェンジから車で10分<br />ＪＲ長崎本線佐賀駅からバスで20分","1","無料（20台）","2","","100006_1.jpg","100006_2.jpg","","外国語パンフレット","","","","","","全禁煙","","","2","","2","","","","","","入場無料（事前予約10名以上。土・日曜、祝日営業可）","","","","","2","2","2","2","2","","parking.png","coffee_shop.png","bar.png","shop.png","no_smoking.png","","","","","","","","","","","","","","","","","","","1","2017/03/31 10:44:54"
"100007","グルメ","","和食","","","33.221289","130.361850","割烹 津田屋","840-2105","佐賀県","佐賀市","諸富町大字諸富津","223-1","11:30～22:00（OS20:00）","不定休","0952-47-2046","info@tsudaya.jp","スロープあり／身障者等用駐車場／身障者用トイレ","","http://www.tsudaya.jp/","","","","1","tsudaya-A　tsudaya-G","1","1","1","2","1","","当店では、毎朝、筑後中部魚市場に仕入れにいっており旬の新鮮な魚を使った会席料理を楽しんでいただけます。また、５月から７月中旬まで、筑後川で生息する「えつ」を使った会席料理でも有名です。<br />客室は、全て個室（畳の部屋と椅子の部屋有）ととなっており、ゆくっりと会食を楽しんでいただけます。バリアフリー対応となっており、車椅子の貸出しも行っておりますので、お気軽に声をおかけ下さい。","佐賀市営バス諸富橋下車徒歩５分、西鉄バス諸富橋下車徒歩５分","1","無料","2","","100007_1.jpg","100007_2.jpg","100007_3.jpg","","","佐賀牛、有明海物、えつ","200席","あり（10部屋）","会席料理3,400円から（別途サービス料10パーセント）","喫煙可","お子様メニュー／授乳室／オムツ交換スペース","","1","","1","","","","","","","","","","","2","2","2","2","2","","toilets.png","accessible_facility.png","accessible_slope.png","smoking_area.png","nursery.png","parking.png","restaurant.png","tatami.png","","","","","","","","","","","","","","","","1","2017/03/31 10:43:46"
"100008","くらし","","","スクール・習い事／住宅・不動産","","33.306108","130.380802","株式会社三神","842-0003","佐賀県","神埼市","神埼町本堀","3003-6","9:00～17:30","なし。（ただし、年末年始、ゴールデンウィーク、メンテナンス日等は除く。）","0952-53-1221","sanshin@train.ocn.ne.jp","","","http://www.sanshin34.com/","https://ja-jp.facebook.com/sanshin.gas","","","1","sanshin(2.4GHz) sanshin2(2.4GHz)sanshin3(5GHz)","1","2","2","2","1","docomo／softbank／au／その他","株式会社三神のショールームは、住宅設備機器を実際に体験・体感していただけるショールームです。ショールームのキッチンスペースやダイニングスペース、更には研修室や会議室をレンタルスペースとして地域の皆様に提供しています。<br />カルチャースクールやミーティングなど皆様のコミュニティの場としてご利用ください。<br />Wi-Fi環境も整いましたので、より多くの皆様のご利用をお待ちしております。","ＪＲ長崎本線神埼駅から車で５分","1","無料","2","","100008_1.jpg","100008_2.jpg","","","","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","","parking.png","shop.png","","","","","","","","","","","","","","","","","","","","","","1","2017/03/31 10:42:16"
"100009","買い物","","","住宅・不動産／子育て・教育","","33.221970","130.366709","木のおもちゃ 飛鳥工房","840-2104","佐賀県","佐賀市","諸富町大字徳富","112-4","10:00～18:00","年中無休","0952-47-5697","info@asukakoubou.com","段差なし／スロープあり","","http://asukakoubou.com","https://www.facebook.com/asukakoubou","","","1","asukakoubou24G1　asukakoubou5G1　asukakoubou24G2　asukakoubou5G2","1","1","1","2","2","","手作りの木製玩具、インテリア小物、ボードゲーム、木の食器等を展示販売しています。","ＪＲ長崎本線佐賀駅から車で20分<br />長崎自動車道東脊振インターチェンジから車で30分","1","無料（25台）","1","VISA／Master／AMEX","100009_1.jpg","100009_2.jpg","100009_3.jpg","","","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","国内配送可／海外配送可","accessible_slope.png","parking.png","shop.png","baggage_delivery_service.png","","","","","","","","","","","","","","","","","","","","1","2017/03/31 10:41:12"
"100010","くらし","","","","","33.421388","130.530731","まちなか公民館","841-0204","佐賀県","三養基郡基山町","大字宮浦","186-31","10:00～17:00","不定休","0942-92-0025","kiyamamallgai2014@yahoo.co.jp","段差なし","","http://kiyamamallgai.main.jp/","https://www.facebook.com/pages/基山モール商店街/823103591042242","","","1","machinaka92","1","1","2","2","1","","ＪＲ基山駅近くにある、誰でも利用可能なスペースです。<br />フリーWi-Fiスポット、充電設備もあります。<br />休憩や待ち合わせに気軽にご利用いただけます。","基山駅から徒歩３分","1","無料","2","","100010_1.jpg","100010_2.jpg","","","","","","","","","","","2","","2","","","","","","","","","","","2","2","2","2","2","","toilets.png","consent.png","","","","","","","","","","","","","","","","","","","","","","1","2017/03/31 10:40:16"
